,title,price,link
10,"Lenovo IdeaPad 3 12th Gen Intel Core i3-1215U 14 Inch (35.5cm) FHD Thin & Light Laptop (8GB/512GB SSD/Win 11/Office 2021/1Yr ADP Free/3months Game Pass/Arctic Grey/1.43Kg), 82RJ00FUIN  ","33,990",https://amazon.in//Lenovo-IdeaPad-i3-1215U-3months-82RJ00FUIN/dp/B0DFH99H7X/ref=sr_1_69?crid=VHV2G5PX4CDL&dib=eyJ2IjoiMSJ9.3CTgzDfNTKhRz7F2mW2DyX5_j8wrcWEL7btbIYzb8UXiyr6VDUanclpw4VWvLs58giroof4zDvYIMy5Jw_kNoyxCyCNWTBcdU5CiG6iWKfSJeIIbiwqQC1SOg9bjzc6tFkiPwLdlEv0PadNtFeUVgkqB3RfcaMxLSoM2NWIVA9j8TbgbeBJ1INms3Q2zuFWHaHCfMzePc4VGFFhUcvo288d0alVqNE-ufMNFZoUUJ-A.4Pop2aSyEtewRhFQGlaD7CoW2UIO_mfR4pN0JKkoOvc&dib_tag=se&keywords=laptop&qid=1727447671&sprefix=%2Caps%2C1086&sr=8-69
11,"HP Laptop 15s, AMD Ryzen 5 5500U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, AMD Radeon Graphics, 720p HD Camera, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.69 kg), eq2182AU  ","39,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1NzY2ODc1NjkxMTI1Mzk4OjE3Mjc0NDc2NzE6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDgwMjIyNzkzMTk4OjowOjo&url=%2FHP-15-6-inches-Micro-Edge-Anti-Glare-15s-eq2182AU%2Fdp%2FB0B4N77Y34%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%253Aamzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%26crid%3DVHV2G5PX4CDL%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.PY2vKuOpysoF4Ecyett2-BoUKjsm5FDDC69LZrMGs-UFtBsabp3yMo59YEFF9tyT.Mvuszv6F6HQZE_-mfAjmGK_Sudeeg5S7K8Tg_AJfBeE%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0B4N77Y34%26pd_rd_r%3Dd146721d-0d1c-483e-b8a2-85259615ea12%26pd_rd_w%3DufyNb%26pd_rd_wg%3Dk6CNI%26pf_rd_p%3D59126330-c308-4c36-a5a0-21cac002681f%26pf_rd_r%3DCH855PQ9Z7X42E86E57P%26qid%3D1727447671%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C1086%26sr%3D1-65-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
12,"Acer ALG 12th Gen Intel Core i5 Gaming Laptop (16GB RAM/1TB SSD/6GB RTX 3050 Graphics/144Hz/Win11Home/Wifi 6) AL15G-52, 39.62cm (15.6 inch) FHD Display, Premium Metal Body, Steel Gray, 1.99KG  ","59,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1NzY2ODc1NjkxMTI1Mzk4OjE3Mjc0NDc2NzE6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI4MTUwMDA4OTMzMjo6MTo6&url=%2FAcer-Graphics-Win11Home-AL15G-52-39-62cm%2Fdp%2FB0D32QRT3L%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%253Aamzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%26crid%3DVHV2G5PX4CDL%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.PY2vKuOpysoF4Ecyett2-BoUKjsm5FDDC69LZrMGs-UFtBsabp3yMo59YEFF9tyT.Mvuszv6F6HQZE_-mfAjmGK_Sudeeg5S7K8Tg_AJfBeE%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0D32QRT3L%26pd_rd_r%3Dd146721d-0d1c-483e-b8a2-85259615ea12%26pd_rd_w%3DufyNb%26pd_rd_wg%3Dk6CNI%26pf_rd_p%3D59126330-c308-4c36-a5a0-21cac002681f%26pf_rd_r%3DCH855PQ9Z7X42E86E57P%26qid%3D1727447671%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C1086%26sr%3D1-66-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
13,"Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.48kg Laptop  ","33,990",https://amazon.in//Dell-Smartchoice-i3-1215U-Processor-Spill-Resistant/dp/B0BQJ68HHC/ref=sr_1_7?crid=VHV2G5PX4CDL&dib=eyJ2IjoiMSJ9.WUtMALyYfhllXTKwlRBZhc9wTzOeQcNlvOlCKxjitO8H6s2XBDtNXIkX1puL55i1Ax-VtiVP8GrvYvqN44m3MwtV3_yzmJTonsYMThu9CO_9cTDM8GP7R1Efkqh2uzsceNDtmzW_w-3_YuXLYTyhhP7sy66HTbQo5bOloeaEwdBvXBT2QcaL4nXLoL_QeFAwebQPKmTf-bITmDZTOuIEH0R1x6puG6IDU7FAQR122sg.rIXdV429DD9c0Zccte-yS9er5eDz8_FGABucOOqtlv4&dib_tag=se&keywords=laptop&qid=1727447642&sprefix=%2Caps%2C1086&sr=8-7
14,"Acer Nitro V Gaming Laptop 13th Gen Intel Core i5-13420H with RTX 4050 Graphics 6GB VRAM, 144Hz Display (16GB DDR5/512GB SSD/Windows 11 Home/Wi-Fi 6),15.6""(39.6cms) FHD ANV15-51  ","72,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1NzY2ODc1NjkxMTI1Mzk4OjE3Mjc0NDc2NzE6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDEyMDAxMTczMjczMjo6Mzo6&url=%2FAcer-i5-13420H-Graphics-Display-ANV15-51%2Fdp%2FB0CHJJZ9G8%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%253Aamzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%26crid%3DVHV2G5PX4CDL%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.PY2vKuOpysoF4Ecyett2-BoUKjsm5FDDC69LZrMGs-UFtBsabp3yMo59YEFF9tyT.Mvuszv6F6HQZE_-mfAjmGK_Sudeeg5S7K8Tg_AJfBeE%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0CHJJZ9G8%26pd_rd_r%3Dd146721d-0d1c-483e-b8a2-85259615ea12%26pd_rd_w%3DufyNb%26pd_rd_wg%3Dk6CNI%26pf_rd_p%3D59126330-c308-4c36-a5a0-21cac002681f%26pf_rd_r%3DCH855PQ9Z7X42E86E57P%26qid%3D1727447671%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C1086%26sr%3D1-67-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
15,"Lenovo IdeaPad 3 12th Gen Intel Core i3-1215U 14 Inch (35.5cm) FHD Thin & Light Laptop (8GB/512GB SSD/Win 11/Office 2021/1Yr ADP Free/3months Game Pass/Arctic Grey/1.43Kg), 82RJ00FUIN  ","33,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1NzY2ODc1NjkxMTI1Mzk4OjE3Mjc0NDc2NzE6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDM0MjQ3Nzc4ODEzMjo6NDo6&url=%2FLenovo-IdeaPad-i3-1215U-3months-82RJ00FUIN%2Fdp%2FB0DFH99H7X%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%253Aamzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%26crid%3DVHV2G5PX4CDL%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.PY2vKuOpysoF4Ecyett2-BoUKjsm5FDDC69LZrMGs-UFtBsabp3yMo59YEFF9tyT.Mvuszv6F6HQZE_-mfAjmGK_Sudeeg5S7K8Tg_AJfBeE%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0DFH99H7X%26pd_rd_r%3Dd146721d-0d1c-483e-b8a2-85259615ea12%26pd_rd_w%3DufyNb%26pd_rd_wg%3Dk6CNI%26pf_rd_p%3D59126330-c308-4c36-a5a0-21cac002681f%26pf_rd_r%3DCH855PQ9Z7X42E86E57P%26qid%3D1727447671%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C1086%26sr%3D1-68-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
16,"Acer Aspire Lite 12th Gen Intel Core i3-1215U Thin and Light Metal Laptop (Windows 11 Home/8GB RAM/512GB SSD/Intel UHD Graphics/MSO) AL15-52, 39.62cm (15.6"") Full HD Display, Steel Gray, 1.59 KG  ","30,990",https://amazon.in//Acer-i3-1215U-Windows-Graphics-AL15-52/dp/B0CY1Z82QW/ref=sr_1_70?crid=VHV2G5PX4CDL&dib=eyJ2IjoiMSJ9.3CTgzDfNTKhRz7F2mW2DyX5_j8wrcWEL7btbIYzb8UXiyr6VDUanclpw4VWvLs58giroof4zDvYIMy5Jw_kNoyxCyCNWTBcdU5CiG6iWKfSJeIIbiwqQC1SOg9bjzc6tFkiPwLdlEv0PadNtFeUVgkqB3RfcaMxLSoM2NWIVA9j8TbgbeBJ1INms3Q2zuFWHaHCfMzePc4VGFFhUcvo288d0alVqNE-ufMNFZoUUJ-A.4Pop2aSyEtewRhFQGlaD7CoW2UIO_mfR4pN0JKkoOvc&dib_tag=se&keywords=laptop&qid=1727447671&sprefix=%2Caps%2C1086&sr=8-70
17,"ASUS Vivobook 15, Intel Core i5-12500H 12th Gen,Thin and Light Laptop,15.6"" (39.62 cm) FHD, (8GB RAM/512GB/Windows11/Office 2021/Blue/1.7 kg), X1502ZA-EJ523WS  ","42,990",https://amazon.in//ASUS-Vivobook-i5-12500H-Laptop-X1502ZA-EJ523WS/dp/B0C5N3G2MD/ref=sr_1_71?crid=VHV2G5PX4CDL&dib=eyJ2IjoiMSJ9.3CTgzDfNTKhRz7F2mW2DyX5_j8wrcWEL7btbIYzb8UXiyr6VDUanclpw4VWvLs58giroof4zDvYIMy5Jw_kNoyxCyCNWTBcdU5CiG6iWKfSJeIIbiwqQC1SOg9bjzc6tFkiPwLdlEv0PadNtFeUVgkqB3RfcaMxLSoM2NWIVA9j8TbgbeBJ1INms3Q2zuFWHaHCfMzePc4VGFFhUcvo288d0alVqNE-ufMNFZoUUJ-A.4Pop2aSyEtewRhFQGlaD7CoW2UIO_mfR4pN0JKkoOvc&dib_tag=se&keywords=laptop&qid=1727447671&sprefix=%2Caps%2C1086&sr=8-71
18,"ASUS Vivobook 15, 15.6-inch (39.62 cm) FHD, Intel Pentium Gold 7505, Thin and Light Laptop, (8GB RAM/512GB SSD/Intergrated Graphics/Win11/Silver/1.8 Kg), X1500EA-EJ122WS  ","24,990",https://amazon.in//ASUS-Vivobook-15-6-inch-Intergrated-X1500EA-EJ122WS/dp/B0CZ3K42DX/ref=sr_1_72?crid=VHV2G5PX4CDL&dib=eyJ2IjoiMSJ9.3CTgzDfNTKhRz7F2mW2DyX5_j8wrcWEL7btbIYzb8UXiyr6VDUanclpw4VWvLs58giroof4zDvYIMy5Jw_kNoyxCyCNWTBcdU5CiG6iWKfSJeIIbiwqQC1SOg9bjzc6tFkiPwLdlEv0PadNtFeUVgkqB3RfcaMxLSoM2NWIVA9j8TbgbeBJ1INms3Q2zuFWHaHCfMzePc4VGFFhUcvo288d0alVqNE-ufMNFZoUUJ-A.4Pop2aSyEtewRhFQGlaD7CoW2UIO_mfR4pN0JKkoOvc&dib_tag=se&keywords=laptop&qid=1727447671&sprefix=%2Caps%2C1086&sr=8-72
19,"ASUS Vivobook Go 15 (2023), AMD Ryzen 5 7520U, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (16GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Silver/1.8 Kg), E1504FA-NJ541WS  ","37,990",https://amazon.in//ASUS-Vivobook-Integrated-Graphics-E1504FA-NJ541WS/dp/B0BQSH511C/ref=sr_1_73?crid=VHV2G5PX4CDL&dib=eyJ2IjoiMSJ9.3CTgzDfNTKhRz7F2mW2DyX5_j8wrcWEL7btbIYzb8UXiyr6VDUanclpw4VWvLs58giroof4zDvYIMy5Jw_kNoyxCyCNWTBcdU5CiG6iWKfSJeIIbiwqQC1SOg9bjzc6tFkiPwLdlEv0PadNtFeUVgkqB3RfcaMxLSoM2NWIVA9j8TbgbeBJ1INms3Q2zuFWHaHCfMzePc4VGFFhUcvo288d0alVqNE-ufMNFZoUUJ-A.4Pop2aSyEtewRhFQGlaD7CoW2UIO_mfR4pN0JKkoOvc&dib_tag=se&keywords=laptop&qid=1727447671&sprefix=%2Caps%2C1086&sr=8-73
